affirmer affirme affirmes affirme affirmons affirmez affirment affirmais affirmais affirmait affirmions affirmiez affirmaient affirmerai affirmeras affirmera affirmerons affirmerez affirmeront affirmai affirmas affirma affirmâmes affirmâtes affirmèrent affirmerais affirmerais affirmerait affirmerions affirmeriez affirmeraient affirme affirmes affirme affirmions affirmiez affirment affirmasse affirmasses affirmât affirmassions affirmassiez affirmassent affirme affirmons affirmez affirmant affirmé affirmés affirmée affirmées 
agir agis agis agit agissons agissez agissent agissais agissais agissait agissions agissiez agissaient agirai agiras agira agirons agirez agiront agis agis agit agîmes agîtes agirent agirais agirais agirait agirions agiriez agiraient agisse agisses agisse agissions agissiez agissent agisse agisses agît agissions agissiez agissent agis agissons agissez agissant agi agis agie agies 
agiter agite agites agite agitons agitez agitent agitais agitais agitait agitions agitiez agitaient agiterai agiteras agitera agiterons agiterez agiteront agitai agitas agita agitâmes agitâtes agitèrent agiterais agiterais agiterait agiterions agiteriez agiteraient agite agites agite agitions agitiez agitent agitasse agitasses agitât agitassions agitassiez agitassent agite agitons agitez agitant agité agités agitée agitées 
aider aide aides aide aidons aidez aident aidais aidais aidait aidions aidiez aidaient aiderai aideras aidera aiderons aiderez aideront aidai aidas aida aidâmes aidâtes aidèrent aiderais aiderais aiderait aiderions aideriez aideraient aide aides aide aidions aidiez aident aidasse aidasses aidât aidassions aidassiez aidassent aide aidons aidez aidant aidé aidés aidée aidées 
aimer aime aimes aime aimons aimez aiment aimais aimais aimait aimions aimiez aimaient aimerai aimeras aimera aimerons aimerez aimeront aimai aimas aima aimâmes aimâtes aimèrent aimerais aimerais aimerait aimerions aimeriez aimeraient aime aimes aime aimions aimiez aiment aimasse aimasses aimât aimassions aimassiez aimassent aime aimons aimez aimant aimé aimés aimée aimées 
ajouter ajoute ajoutes ajoute ajoutons ajoutez ajoutent ajoutais ajoutais ajoutait ajoutions ajoutiez ajoutaient ajouterai ajouteras ajoutera ajouterons ajouterez ajouteront ajoutai ajoutas ajouta ajoutâmes ajoutâtes ajoutèrent ajouterais ajouterais ajouterait ajouterions ajouteriez ajouteraient ajoute ajoutes ajoute ajoutions ajoutiez ajoutent ajoutasse ajoutasses ajoutât ajoutassions ajoutassiez ajoutassent ajoute ajoutons ajoutez ajoutant ajouté ajoutés ajoutée ajoutées 
aller vais vas va allons allez vont allais allais allait allions alliez allaient irai iras ira irons irez iront allai allas alla allâmes allâtes allèrent irais irais irait irions iriez iraient aille ailles aille allions alliez aillent allasse allasses allât allassions allassiez allassent va allons allez allant allé allés allée allées 
allumer allume allumes allume allumons allumez allument allumais allumais allumait allumions allumiez allumaient allumerai allumeras allumera allumerons allumerez allumeront allumai allumas alluma allumâmes allumâtes allumèrent allumerais allumerais allumerait allumerions allumeriez allumeraient allume allumes allume allumions allumiez allument allumasse allumasses allumât allumassions allumassiez allumassent allume allumons allumez allumant allumé allumés allumée allumées 
amener amène amènes amène amenons amenez amènent amenais amenais amenait amenions ameniez amenaient amènerai amèneras amènera amènerons amènerez amèneront amenai amenas amena amenâmes amenâtes amenèrent amènerais amènerais amènerait amènerions amèneriez amèneraient amène amènes amène amenions ameniez amènent amenasse amenasses amenât amenassions amenassiez amenassent amène amenons amenez amenant amené amenés amenée amenées 
amuser amuse amuses amuse amusons amusez amusent amusais amusais amusait amusions amusiez amusaient amuserai amuseras amusera amuserons amuserez amuseront amusai amusas amusa amusâmes amusâtes amusèrent amuserais amuserais amuserait amuserions amuseriez amuseraient amuse amuses amuse amusions amusiez amusent amusasse amusasses amusât amusassions amusassiez amusassent amuse amusons amusez amusant amusé amusés amusée amusées 
