pleine d'entrain ++
pleines d'entrain ++
grand =
grands =
grande =
grandes =
petit =
petits =
petite =
petites =
colossal =
colossaux =
colossale =
colossales =
gigantesque =
gigantesques =
énorme =
énormes =
maigre -
maigres -
miniature =
miniatures =
haut =
hauts =
haute =
hautes =
mince +
minces +
minuscule =
minuscules =
antique =
antiques =
annuel =
annuels =
annuelle =
annuelles =
bref =
brefs =
brêve =
brêves =
tôt =
rapide +
rapides +
tard -
tardif -
tardifs -
tardive -
tardives -
moderne +
modernes +
vieux -
vieille -
vieil -
vieilles -
ralenti -
ralentis -
ralentie -
ralenties -
jeune +
jeunes +
abondant ++
abondants ++
abondante ++
abondantes ++
généreux ++
généreuse ++
généreuses ++
considérable ++
considérables ++
vide -
vides -
peu -
lourd --
lourds --
lourde --
lourdes --
beaucoup ++
multiple ++
multiples ++
nombreux ++
nombreuse ++
nombreuses ++
substantiel ++
substantiels ++
substantielle ++
substantielles ++
amer --
amers --
délicieux ++
délicieuse ++
délicieuses ++
frais ++
fraiche ++
fraiches ++
chaud =
chauds =
chaude =
chaudes =
glacial --
glacials --
glaciale --
glaciales --
juteux =
juteuse =
juteuses =
épicé =
épicés =
épicée =
épicées =
doux +
douce +
douces +
aigre --
aigres --
salé -
salés -
salée -
salées -
savoureux ++
savoureuse ++
savoureuses ++
sans saveur --
dur =
durs =
dure =
dures =
en vrac --
rugueux --
rugueuse --
rugueuses --
lisse +
lisses +
glissant --
glissants --
glissante --
glissantes --
gluant ---
gluants ---
gluante ---
gluantes ---
dispersé --
dispersés --
dispersée --
dispersées --
doux ++
douce ++
douces ++
tendre ++
tendres ++
inégal --
inégaux --
inégale --
inégales --
humide --
humides --
azur =
azurs =
azure =
azures =
bleu =
bleus =
bleue =
bleues =
noir =
noire =
noirs =
noires =
cramoisi =
cramoisis =
cramoisie =
cramoisies =
cyan =
vert =
verts =
verte =
vertes =
magenta =
orange =
oranges =
rose =
roses =
turquoise =
turquoises =
gentil ++
gentils ++
gentille ++
gentilles ++
